"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"EARLTON A","47.695","-79.849","ON","3.2","11",NA,"16.4","11","-7.0","11","",,NA,"52.6","11",NA,"","9","",,NA,"281.9","0.0","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","3.3","0",NA,"25.8","0","-7.1","0","",,NA,"74.7","0",NA,"4.0","12","",,NA,"439.8","0.0","6072230"
"KAPUSKASING A","49.412","-82.468","ON","1.9","0",NA,"24.2","0","-12.0","0","28.2","0",NA,"64.0","0",NA,"0.0","9","",,NA,"482.8","0.0","6073976"
"KAPUSKASING CDA ON","49.406","-82.444","ON","1.8","0",NA,"24.0","0","-13.4","0","",,NA,"58.8","0",NA,"1.0","9","",,NA,"486.7","0.0","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","2.4","0",NA,"25.3","0","-11.4","0","",,NA,"62.7","1",NA,"","12","",,NA,"469.4","0.0","6074211"
"MOOSONEE","51.291","-80.608","ON","-2.9","7",NA,"12.2","7","-15.7","7","",,NA,"28.8","7",NA,"","5","",,NA,"479.7","0.0","6075420"
"MOOSONEE UA","51.267","-80.650","ON","-1.7","2","0.1","16.0","2","-15.0","2","13.0","2",NA,"39.4","2",NA,"0.0","5","","",NA,"550.5","0.0","6075425"
"MOOSONEE RCS","51.292","-80.618","ON","-2.0","0",NA,"15.6","0","-14.0","0","",,NA,"43.8","0",NA,"","7","",,NA,"600.2","0.0","6075435"
"NAGAGAMI (AUT)","49.747","-84.164","ON","0.8","0",NA,"19.1","0","-11.5","0","",,NA,"85.6","0",NA,"3.0","10","",,NA,"517.5","0.0","6075543"
"OGOKI POST A","51.659","-85.901","ON","-1.1","0",NA,"18.6","0","-14.9","0","",,NA,"34.1","0",NA,"","7","",,NA,"573.8","0.0","6075786"
"TIMMINS CLIMATE","48.557","-81.390","ON","2.1","0",NA,"27.1","0","-10.9","0","",,NA,"111.7","0",NA,"0.0","15","",,NA,"476.4","0.0","6078282"
"TIMMINS A","48.571","-81.377","ON","2.2","1",NA,"27.3","1","-11.0","0","",,NA,"",,NA,"","","",,NA,"457.6","0.0","6078286"
"ALGONQUIN PARK EAST GATE","45.533","-78.267","ON","4.6","0",NA,"27.8","0","-8.5","0","",,NA,"171.7","0",NA,"","13","",,NA,"403.2","0.0","6080192"
