"Environment and Climate Change Canada"
"Monthly Values for December - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BONNER LAKE","49.383","-82.124","ON","-16.9","0",NA,"7.0","0","-37.0","0","33.6","0",NA,"30.0","0",NA,"36.0","9","","",NA,"1082.2","0.0","6070QK6"
"EARLTON A","47.695","-79.849","ON","-18.0","13",NA,"7.9","13","-34.7","13","",,NA,"17.3","13",NA,"","3","",,NA,"648.4","0.0","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","-15.4","0",NA,"8.3","0","-34.9","0","",,NA,"39.6","0",NA,"6.0","9","",,NA,"1036.0","0.0","6072230"
"KAPUSKASING A","49.412","-82.468","ON","-16.9","0",NA,"6.8","0","-35.4","0","36.2","0",NA,"45.0","0",NA,"30.0","9","",,NA,"1082.9","0.0","6073976"
"KAPUSKASING CDA ON","49.406","-82.444","ON","-16.8","2",NA,"7.2","2","-37.9","2","",,NA,"24.0","2",NA,"17.0","4","",,NA,"1007.8","0.0","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","-16.1","0",NA,"8.0","0","-35.0","0","",,NA,"28.0","0",NA,"21.0","5","",,NA,"1057.7","0.0","6074211"
"MOOSONEE","51.291","-80.608","ON","-14.1","15",NA,"7.0","15","-28.0","15","",,NA,"7.7","15",NA,"","2","",,NA,"514.3","0.0","6075420"
"MOOSONEE UA","51.267","-80.650","ON","-15.3","4","-0.8","7.5","4","-32.0","4","23.6","4",NA,"29.6","4",NA,"21.0","8","","",NA,"898.9","0.0","6075425"
"MOOSONEE RCS","51.292","-80.618","ON","-16.6","0",NA,"7.6","0","-33.1","0","",,NA,"33.3","2",NA,"23.0","7","",,NA,"1071.8","0.0","6075435"
"NAGAGAMI (AUT)","49.747","-84.164","ON","-17.4","0",NA,"7.0","0","-37.1","0","",,NA,"29.9","0",NA,"31.0","7","",,NA,"1098.1","0.0","6075543"
"OGOKI POST A","51.659","-85.901","ON","-18.5","0",NA,"3.3","0","-35.5","0","",,NA,"28.9","0",NA,"","2","",,NA,"1131.8","0.0","6075786"
"TIMMINS CLIMATE","48.557","-81.390","ON","-16.4","0",NA,"7.3","0","-36.4","0","",,NA,"42.5","0",NA,"13.0","9","",,NA,"1065.3","0.0","6078282"
"TIMMINS A","48.571","-81.377","ON","-16.5","0",NA,"6.9","0","-36.3","0","",,NA,"",,NA,"","","",,NA,"1068.6","0.0","6078286"
"ALGONQUIN PARK EAST GATE","45.533","-78.267","ON","-12.0","0",NA,"8.5","0","-34.3","0","",,NA,"63.9","0",NA,"27.0","17","",,NA,"929.4","0.0","6080192"
"NORTH BAY A","46.364","-79.424","ON","-14.0","12",NA,"8.6","12","-33.9","12","",,NA,"21.2","12",NA,"","5","",,NA,"608.0","0.0","6085680"
"NORTH BAY AIRPORT","46.375","-79.403","ON","-15.7","5",NA,"0.5","5","-32.4","5","",,NA,"41.3","5",NA,"22.0","10","",,NA,"875.6","0.0","6085695"
"GORE BAY CLIMATE","45.883","-82.567","ON","-6.2","6",NA,"9.7","6","-20.9","5","",,NA,"49.9","6",NA,"","13","",,NA,"605.2","0.0","6092920"
"GREAT DUCK ISLAND (AUT)","45.633","-82.950","ON","-5.0","2",NA,"9.7","2","-21.6","0","",,NA,"",,NA,"","","",,NA,"666.1","0.0","6093005"
"SANDFIELD","45.690","-81.982","ON","-7.0","1",NA,"10.0","1","-26.0","1","70.0","1",NA,"89.6","1",NA,"24.0","15","","",NA,"750.3","0.0","6097426"
"APPLETON","45.186","-76.113","ON","-9.7","0",NA,"10.0","0","-30.0","0","39.6","0",NA,"50.0","0",NA,"22.0","12","","",NA,"857.8","0.0","6100285"
"BROCKVILLE CLIMATE","44.635","-75.748","ON","-9.7","1",NA,"11.6","1","-33.3","0","",,NA,"54.7","1",NA,"19.0","8","",,NA,"830.3","0.0","6100970"
"BROCKVILLE PCC","44.600","-75.667","ON","-7.3","0","-4.0","11.0","0","-27.0","0","84.2","0","217.0","101.9","0","128.0","0.0","14","","",NA,"785.7","0.0","6100971"
"CHALK RIVER AECL","46.050","-77.367","ON","-7.0","16","-0.1","10.5","16","-23.5","16","14.2","16",NA,"25.8","16",NA,"","6","","",NA,"375.1","0.0","6101335"
"CORNWALL","45.016","-74.749","ON","-8.1","1","-4.1","13.0","1","-25.0","1","61.0","1",NA,"67.2","1",NA,"21.0","10","","",NA,"782.8","0.0","6101874"
"DRUMMOND CENTRE","45.032","-76.253","ON","-9.4","0","-3.6","9.5","0","-31.0","0","47.2","0","120.0","60.0","0","91.0","25.0","11","","",NA,"849.5","0.0","6102J13"
"HARTINGTON IHD","44.428","-76.690","ON","-7.4","0","-3.3","10.0","0","-28.0","0","47.0","0","142.0","69.6","0","89.0","29.0","11","","",NA,"788.4","0.0","6103367"
"KEMPTVILLE CS","45.000","-75.633","ON","-10.5","2",NA,"7.7","2","-30.6","0","",,NA,"42.2","2",NA,"22.0","7","",,NA,"827.2","0.0","6104027"
"KINGSTON CLIMATE","44.223","-76.599","ON","-9.9","6",NA,"5.5","6","-27.1","6","",,NA,"43.9","6",NA,"20.0","10","",,NA,"696.5","0.0","6104142"
"LYNDHURST SHAWMERE","44.517","-76.083","ON","-8.4","7","-4.6","11.5","7","-35.0","7","72.8","7",NA,"89.7","7",NA,"","11","","",NA,"633.8","0.0","6104725"
"MOOSE CREEK WELLS","45.251","-74.963","ON","-10.1","1",NA,"11.7","1","-33.7","0","",,NA,"26.2","1",NA,"26.0","3","",,NA,"842.7","0.0","6105397"
"OMPAH-SEITZ","45.054","-76.784","ON","-9.6","0",NA,"8.0","0","-29.5","0","46.8","0",NA,"61.8","0",NA,"25.0","14","","",NA,"855.5","0.0","6105762"
"OTTAWA CDA","45.383","-75.717","ON","-7.8","3","-2.2","11.0","3","-27.0","3","38.8","3",NA,"32.4","3",NA,"20.0","9","","",NA,"721.0","0.0","6105976"
"OTTAWA CDA RCS","45.383","-75.717","ON","-8.8","11",NA,"10.8","11","-27.1","8","",,NA,"23.9","11",NA,"20.0","5","",,NA,"536.8","0.0","6105978"
"OTTAWA INTL A","45.317","-75.667","ON","-10.1","0",NA,"10.6","0","-26.8","0","70.8","0",NA,"46.0","0",NA,"34.0","9","",,NA,"871.3","0.0","6106001"
"PEMBROKE CLIMATE","45.860","-77.252","ON","-11.6","0",NA,"10.6","0","-31.2","0","",,NA,"31.3","0",NA,"19.0","9","",,NA,"916.4","0.0","6106367"
"PETAWAWA AWOS 2","45.950","-77.317","ON","-12.6","4",NA,"5.2","2","-32.0","3","",,NA,"20.0","2",NA,"","8","",,NA,"827.2","0.0","6106396"
"ST. ALBERT","45.287","-75.064","ON","-10.9","0","-4.8","11.5","0","-35.0","0","57.0","0","146.0","83.6","0","106.0","0.0","12","","",NA,"896.6","0.0","6107276"
"PETAWAWA HOFFMAN","45.883","-77.250","ON","-9.7","2",NA,"10.0","2","-29.0","2","39.6","2",NA,"35.8","2",NA,"21.0","11","","",NA,"802.8","0.0","610FC98"
"BALDWIN","44.267","-79.319","ON","-6.4","3",NA,"11.5","2","-31.0","3","53.8","2",NA,"54.6","2",NA,"20.0","12","","",NA,"683.3","0.0","6110480"
"BARRIE LANDFILL","44.385","-79.736","ON","-5.0","18",NA,"10.5","12","-20.0","11","38.0","12",NA,"50.0","12",NA,"","7","","",NA,"299.2","0.0","6110556"
"BEATRICE CLIMATE","45.140","-79.403","ON","-10.6","0",NA,"10.1","0","-36.9","0","",,NA,"85.4","0",NA,"34.0","16","",,NA,"885.2","0.0","6110607"
