"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"MOOSONEE UA","51.267","-80.650","ON","6.8","0","0.0","25.0","0","-9.5","0","10.0","0","152.0","86.4","0","158.0","0.0","13","","",NA,"348.5","0.0","6075425"
"MOOSONEE RCS","51.292","-80.618","ON","6.5","0",NA,"24.6","0","-8.9","0","",,NA,"75.3","0",NA,"","13","",,NA,"356.5","0.7","6075435"
"NAGAGAMI (AUT)","49.747","-84.164","ON","7.8","6",NA,"25.3","6","-6.3","5","",,NA,"63.8","7",NA,"","11","",,NA,"256.1","0.1","6075543"
"OGOKI POST A","51.659","-85.901","ON","7.8","1",NA,"25.5","1","-8.6","0","",,NA,"70.1","1",NA,"","10","",,NA,"307.1","1.3","6075786"
"TIMMINS CLIMATE","48.557","-81.390","ON","8.6","12",NA,"24.2","12","-5.5","10","",,NA,"57.7","12",NA,"","10","",,NA,"179.1","0.0","6078282"
"TIMMINS A","48.571","-81.377","ON","8.8","0",NA,"25.1","0","-5.4","0","0.0","30",NA,"",,NA,"","","",,NA,"286.6","0.0","6078286"
"ALGONQUIN PARK EAST GATE","45.533","-78.267","ON","9.7","1",NA,"29.1","1","-3.0","0","",,NA,"155.1","1",NA,"","13","",,NA,"250.1","0.2","6080192"
"NORTH BAY A","46.364","-79.424","ON","10.3","9",NA,"25.5","9","-0.8","9","",,NA,"92.8","9",NA,"","10","",,NA,"170.2","0.7","6085680"
"GORE BAY CLIMATE","45.883","-82.567","ON","10.5","1",NA,"23.7","0","-2.4","1","",,NA,"70.5","1",NA,"","11","",,NA,"223.9","0.1","6092920"
"GREAT DUCK ISLAND (AUT)","45.633","-82.950","ON","8.6","4",NA,"19.3","3","0.7","2","",,NA,"",,NA,"","","",,NA,"253.8","0.0","6093005"
"SANDFIELD","45.690","-81.982","ON","11.0","2",NA,"25.0","2","1.0","2","0.0","2",NA,"68.8","2",NA,"0.0","9","","",NA,"205.2","1.5","6097426"
"APPLETON","45.186","-76.113","ON","12.0","0",NA,"30.5","0","-1.5","0","4.2","0",NA,"165.4","0",NA,"0.0","17","","",NA,"194.4","8.8","6100285"
"BROCKVILLE CLIMATE","44.635","-75.748","ON","12.5","1",NA,"28.5","1","-0.7","0","",,NA,"161.4","1",NA,"","14","",,NA,"172.8","6.4","6100970"
"BROCKVILLE PCC","44.600","-75.667","ON","12.7","3","-0.5","27.0","3","0.0","3","0.0","3",NA,"149.8","3",NA,"0.0","15","","",NA,"155.0","5.6","6100971"
