"Environment and Climate Change Canada"
"Monthly Values for September - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ALGONQUIN PARK EAST GATE","45.533","-78.267","ON","14.3","1",NA,"31.4","1","-0.9","0","",,NA,"79.1","1",NA,"","6","",,NA,"129.5","21.8","6080192"
"NORTH BAY A","46.364","-79.424","ON","15.0","2",NA,"29.8","2","0.4","2","",,NA,"70.1","2",NA,"","6","",,NA,"114.2","30.4","6085680"
"GORE BAY CLIMATE","45.883","-82.567","ON","16.3","3",NA,"29.3","3","4.1","0","",,NA,"59.6","3",NA,"","7","",,NA,"79.6","34.8","6092920"
"GREAT DUCK ISLAND (AUT)","45.633","-82.950","ON","16.5","5",NA,"24.9","5","5.4","2","",,NA,"",,NA,"","","",,NA,"55.3","18.2","6093005"
"SANDFIELD","45.690","-81.982","ON","17.0","0",NA,"31.0","0","5.0","0","0.0","0",NA,"287.8","0",NA,"0.0","9","","",NA,"70.0","40.5","6097426"
"APPLETON","45.186","-76.113","ON","17.2","1",NA,"33.0","1","1.5","1","0.0","1",NA,"43.6","1",NA,"0.0","5","","",NA,"71.6","48.2","6100285"
"BROCKVILLE CLIMATE","44.635","-75.748","ON","16.8","0",NA,"31.4","0","2.3","0","",,NA,"28.0","0",NA,"","4","",,NA,"73.6","37.6","6100970"
"BROCKVILLE PCC","44.600","-75.667","ON","17.7","0","1.8","31.0","0","4.5","0","0.0","0",NA,"51.2","0","52.0","0.0","6","","",NA,"59.2","50.2","6100971"
"CHALK RIVER AECL","46.050","-77.367","ON","17.4","10","3.0","31.5","10","4.0","10","0.0","10",NA,"9.8","10",NA,"","4","","",NA,"41.7","29.3","6101335"
"CORNWALL","45.016","-74.749","ON","18.9","2","2.8","32.5","2","5.0","2","0.0","2",NA,"23.4","2",NA,"0.0","5","","",NA,"39.1","65.6","6101874"
"DRUMMOND CENTRE","45.032","-76.253","ON","16.9","0","2.5","32.0","0","2.0","0","0.0","0","0.0","28.4","0","31.0","0.0","4","","",NA,"71.7","40.0","6102J13"
"HARTINGTON IHD","44.428","-76.690","ON","17.5","0","2.3","32.5","0","3.5","0","0.0","0",NA,"35.2","0","34.0","0.0","6","","",NA,"64.6","48.1","6103367"
"KEMPTVILLE CS","45.000","-75.633","ON","17.0","0",NA,"32.5","0","2.0","0","",,NA,"",,NA,"","","",,NA,"73.7","45.1","6104027"
"KINGSTON CLIMATE","44.223","-76.599","ON","16.7","5",NA,"28.6","5","2.4","4","",,NA,"28.6","5",NA,"","3","",,NA,"59.0","26.9","6104142"
"LYNDHURST SHAWMERE","44.517","-76.083","ON","17.8","4","2.2","32.5","4","5.0","4","0.0","4",NA,"39.0","4",NA,"0.0","7","","",NA,"51.4","46.3","6104725"
"MOOSE CREEK WELLS","45.251","-74.963","ON","16.4","0",NA,"31.8","0","0.1","0","",,NA,"",,NA,"","","",,NA,"84.1","34.9","6105397"
"OMPAH-SEITZ","45.054","-76.784","ON","16.9","0",NA,"32.0","0","2.5","0","0.0","0",NA,"54.8","0",NA,"0.0","7","","",NA,"78.7","44.5","6105762"
"OTTAWA CDA","45.383","-75.717","ON","17.9","0","2.6","33.0","0","4.0","0","0.0","0",NA,"51.6","0","56.0","0.0","6","","",NA,"59.1","55.5","6105976"
"OTTAWA CDA RCS","45.383","-75.717","ON","17.4","0",NA,"32.6","0","4.0","0","",,NA,"51.1","0",NA,"","5","",,NA,"68.1","50.9","6105978"
"OTTAWA INTL A","45.317","-75.667","ON","17.4","0",NA,"33.0","0","2.2","0","0.0","0",NA,"50.8","0",NA,"","6","",,NA,"69.8","52.0","6106001"
"PEMBROKE CLIMATE","45.860","-77.252","ON","15.8","1",NA,"32.6","1","0.1","0","",,NA,"43.0","1",NA,"","3","",,NA,"95.1","32.0","6106367"
"PETAWAWA AWOS 2","45.950","-77.317","ON","16.2","4",NA,"32.6","3","1.5","1","",,NA,"42.5","4",NA,"","4","",,NA,"82.0","34.9","6106396"
"ST. ALBERT","45.287","-75.064","ON","17.6","2","3.2","32.0","2","2.0","2","0.0","2",NA,"58.0","2",NA,"0.0","7","","",NA,"57.2","46.5","6107276"
"PETAWAWA HOFFMAN","45.883","-77.250","ON","16.9","0",NA,"32.5","0","3.0","0","0.0","0",NA,"48.6","0",NA,"0.0","5","","",NA,"79.4","46.4","610FC98"
"BALDWIN","44.267","-79.319","ON","16.8","1",NA,"32.5","1","1.5","1","0.0","1",NA,"59.4","1",NA,"0.0","8","","",NA,"77.8","42.7","6110480"
"BARRIE LANDFILL","44.385","-79.736","ON","19.0","17",NA,"32.5","9","3.5","9","0.0","9",NA,"55.9","9",NA,"0.0","6","","",NA,"18.1","30.9","6110556"
"BEATRICE CLIMATE","45.140","-79.403","ON","14.8","0",NA,"30.2","0","-0.9","0","",,NA,"70.2","0",NA,"","7","",,NA,"121.9","25.1","6110607"
"COLDWATER WARMINSTER","44.631","-79.539","ON","17.4","0",NA,"32.5","0","3.0","0","0.0","0",NA,"68.6","0",NA,"0.0","8","","",NA,"71.5","54.5","6111769"
"COLLINGWOOD","44.500","-80.217","ON","17.4","0",NA,"30.9","0","4.3","0","",,NA,"63.0","0",NA,"","8","",,NA,"69.0","52.0","6111792"
"LAGOON CITY","44.547","-79.217","ON","17.0","0",NA,"32.7","0","4.1","0","",,NA,"",,NA,"","","",,NA,"78.2","46.9","6114295"
"MARKDALE","44.269","-80.712","ON","14.5","7",NA,"31.0","7","0.5","7","0.0","7",NA,"118.4","7",NA,"0.0","9","","",NA,"95.9","16.1","6114979"
"MUSKOKA","44.975","-79.303","ON","15.7","7",NA,"31.4","7","0.8","7","",,NA,"57.6","7",NA,"","7","",,NA,"82.5","30.0","6115529"
"NIPISSING","46.100","-79.521","ON","",,NA,"",,"",,"0.0","4",NA,"80.4","4",NA,"0.0","10","","",NA,"","","6115669"
"ORILLIA BRAIN","44.603","-79.439","ON","17.8","4",NA,"31.5","4","3.5","4","0.0","4",NA,"54.4","4",NA,"","5","","",NA,"45.8","41.8","6115811"
"PARRY SOUND CCG","45.344","-80.044","ON","16.6","0",NA,"29.0","0","2.8","0","",,NA,"",,NA,"","","",,NA,"82.2","40.3","6116257"
"SHANTY BAY","44.399","-79.633","ON","17.2","0","2.0","32.0","0","4.0","0","0.0","0",NA,"56.8","0","62.0","0.0","7","","",NA,"75.2","50.3","6117684"
"BARRIE-ORO","44.483","-79.550","ON","15.8","0",NA,"31.2","0","0.8","0","",,NA,"73.2","0",NA,"","6","",,NA,"98.0","31.3","6117700"
"SPRUCEDALE","45.425","-79.488","ON","",,NA,"",,"",,"0.0","4",NA,"66.4","4",NA,"0.0","6","","",NA,"","","6117981"
"THORNBURY 3","44.551","-80.468","ON","",,NA,"",,"",,"0.0","0",NA,"94.5","0",NA,"0.0","10","","",NA,"","","6118240"
"UDORA","44.263","-79.161","ON","17.0","0","1.9","32.0","0","1.5","0","0.0","0",NA,"56.4","0","65.0","0.0","7","","",NA,"81.0","50.8","6119055"
"WIARTON A","44.744","-81.109","ON","16.1","0",NA,"29.4","0","1.9","0","0.0","0",NA,"54.4","0",NA,"","10","",,NA,"96.8","39.4","6119499"
"WESTERN ISLAND (AUT)","45.033","-80.367","ON","17.4","5",NA,"27.1","5","7.5","1","",,NA,"",,NA,"","","",,NA,"51.9","37.5","6119M51"
"BORDEN AWOS","44.272","-79.912","ON","17.5","21",NA,"34.0","17","-2.1","11","",,NA,"10.5","22",NA,"","1","",,NA,"21.0","16.5","611B002"
"EGBERT CS","44.233","-79.783","ON","16.6","0",NA,"32.4","0","1.6","0","",,NA,"64.3","0",NA,"","6","",,NA,"88.9","46.5","611E001"
