"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"KAPUSKASING A","49.412","-82.468","ON","14.4","0",NA,"29.3","0","0.0","0","0.0","0",NA,"173.6","0",NA,"","12","",,NA,"110.3","2.5","6073976"
"KAPUSKASING CDA ON","49.406","-82.444","ON","14.3","0",NA,"28.1","0","-0.4","0","",,NA,"134.7","1",NA,"","11","",,NA,"112.0","1.6","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","15.3","0",NA,"28.5","0","1.9","0","",,NA,"61.9","0",NA,"","13","",,NA,"89.9","7.7","6074211"
"MOOSONEE","51.291","-80.608","ON","11.3","8",NA,"26.2","8","-1.5","8","",,NA,"84.1","8",NA,"","9","",,NA,"149.2","0.9","6075420"
"MOOSONEE UA","51.267","-80.650","ON","12.0","0","-0.3","31.5","0","-2.0","0","0.0","0","0.0","94.0","0","131.0","0.0","13","","",NA,"184.0","3.1","6075425"
"MOOSONEE RCS","51.292","-80.618","ON","11.9","0",NA,"31.4","0","-1.2","0","",,NA,"99.2","0",NA,"","11","",,NA,"186.4","2.4","6075435"
"NAGAGAMI (AUT)","49.747","-84.164","ON","13.8","1",NA,"29.0","1","-0.3","0","",,NA,"147.0","1",NA,"","12","",,NA,"124.2","1.5","6075543"
"OGOKI POST A","51.659","-85.901","ON","13.7","0",NA,"31.4","0","1.0","0","",,NA,"69.7","0",NA,"","9","",,NA,"134.7","4.6","6075786"
"TIMMINS CLIMATE","48.557","-81.390","ON","14.9","0",NA,"29.1","0","-0.9","0","",,NA,"76.2","0",NA,"","12","",,NA,"101.2","8.3","6078282"
"TIMMINS A","48.571","-81.377","ON","14.8","0",NA,"29.0","0","-1.2","0","",,NA,"",,NA,"","","",,NA,"104.8","8.1","6078286"
"ALGONQUIN PARK EAST GATE","45.533","-78.267","ON","15.3","0",NA,"29.2","0","1.2","0","",,NA,"160.6","0",NA,"","15","",,NA,"99.7","17.8","6080192"
"NORTH BAY A","46.364","-79.424","ON","15.2","7",NA,"25.0","7","2.3","7","",,NA,"86.1","7",NA,"","10","",,NA,"66.9","1.6","6085680"
"GORE BAY CLIMATE","45.883","-82.567","ON","16.4","0",NA,"29.0","0","5.5","0","",,NA,"87.1","0",NA,"","12","",,NA,"59.1","11.2","6092920"
"GREAT DUCK ISLAND (AUT)","45.633","-82.950","ON","14.5","3",NA,"23.5","3","5.8","1","",,NA,"",,NA,"","","",,NA,"94.8","0.0","6093005"
"SANDFIELD","45.690","-81.982","ON","17.2","0",NA,"28.0","0","7.0","0","0.0","0",NA,"105.8","0",NA,"0.0","14","","",NA,"43.0","19.0","6097426"
"APPLETON","45.186","-76.113","ON","17.9","0",NA,"32.5","0","5.0","0","0.0","0",NA,"141.0","0",NA,"0.0","12","","",NA,"49.8","45.3","6100285"
