"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"MASSEY","46.193","-82.025","ON","-5.0","0","-0.5","11.0","0","-28.5","0","15.4","0","54.0","50.2","0","83.0","2.0","7","","",NA,"712.3","0.0","6065006"
"MONETVILLE 2","46.215","-80.303","ON","-7.6","8",NA,"10.5","8","-29.5","8","28.2","8",NA,"40.2","8",NA,"","5","","",NA,"588.8","0.0","6065252"
"SUDBURY CLIMATE","46.632","-80.796","ON","-7.0","3",NA,"7.8","3","-26.9","2","",,NA,"46.1","3",NA,"16.0","8","",,NA,"698.7","0.0","6068145"
"SUDBURY A","46.626","-80.798","ON","-6.9","0",NA,"8.3","0","-26.5","0","36.8","0",NA,"56.6","0",NA,"2.0","6","",,NA,"772.9","0.0","6068153"
"BONNER LAKE","49.383","-82.124","ON","-9.6","0",NA,"11.5","0","-37.0","0","6.8","0",NA,"13.6","0",NA,"48.0","4","","",NA,"855.2","0.0","6070QK6"
"EARLTON A","47.695","-79.849","ON","-8.9","7",NA,"7.8","7","-30.3","7","",,NA,"12.8","7",NA,"","4","",,NA,"646.3","0.0","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","-8.8","0",NA,"7.9","0","-30.2","0","",,NA,"27.0","0",NA,"7.0","6","",,NA,"831.7","0.0","6072230"
"KAPUSKASING A","49.412","-82.468","ON","-9.4","0",NA,"10.6","0","-36.8","0","3.8","0",NA,"11.4","0",NA,"7.0","4","",,NA,"850.9","0.0","6073976"
"KAPUSKASING CDA ON","49.406","-82.444","ON","-8.2","5",NA,"11.7","4","-37.8","3","",,NA,"12.9","5",NA,"45.0","3","",,NA,"681.0","0.0","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","-9.3","0",NA,"9.7","0","-31.4","0","",,NA,"44.3","0",NA,"19.0","8","",,NA,"846.0","0.0","6074211"
"MOOSONEE","51.291","-80.608","ON","-11.3","5",NA,"7.8","5","-32.9","5","",,NA,"7.7","5",NA,"","4","",,NA,"762.0","0.0","6075420"
"MOOSONEE UA","51.267","-80.650","ON","-11.1","0","0.0","9.0","0","-34.5","0","3.4","0","11.0","9.6","0","27.0","30.0","2","","",NA,"900.6","0.0","6075425"
"MOOSONEE RCS","51.292","-80.618","ON","-11.3","0",NA,"8.6","0","-33.9","0","",,NA,"12.5","0",NA,"38.0","4","",,NA,"907.4","0.0","6075435"
"NAGAGAMI (AUT)","49.747","-84.164","ON","-9.2","1",NA,"11.8","1","-34.5","0","",,NA,"13.6","1",NA,"27.0","5","",,NA,"814.9","0.0","6075543"
"OGOKI POST A","51.659","-85.901","ON","-10.0","0",NA,"9.0","0","-28.3","0","",,NA,"6.2","0",NA,"","2","",,NA,"866.8","0.0","6075786"
"TIMMINS CLIMATE","48.557","-81.390","ON","-9.9","0",NA,"9.1","0","-35.2","0","",,NA,"62.2","0",NA,"19.0","17","",,NA,"863.7","0.0","6078282"
"TIMMINS A","48.571","-81.377","ON","-9.8","0",NA,"9.7","0","-34.9","0","",,NA,"",,NA,"","","",,NA,"862.1","0.0","6078286"
"ALGONQUIN PARK EAST GATE","45.533","-78.267","ON","-8.0","0",NA,"8.7","0","-33.7","0","",,NA,"77.7","0",NA,"25.0","10","",,NA,"805.8","0.0","6080192"
"NORTH BAY A","46.364","-79.424","ON","-8.3","4",NA,"7.7","4","-28.4","4","",,NA,"16.1","4",NA,"","4","",,NA,"709.0","0.0","6085680"
"GORE BAY CLIMATE","45.883","-82.567","ON","-4.0","0",NA,"9.2","0","-23.3","0","",,NA,"71.9","0",NA,"0.0","8","",,NA,"680.9","0.0","6092920"
"GREAT DUCK ISLAND (AUT)","45.633","-82.950","ON","-2.4","1",NA,"8.9","1","-15.0","1","",,NA,"",,NA,"","","",,NA,"612.6","0.0","6093005"
"SANDFIELD","45.690","-81.982","ON","-3.6","0",NA,"10.0","0","-19.0","0","41.0","0",NA,"89.2","0",NA,"2.0","10","","",NA,"668.7","0.0","6097426"
"APPLETON","45.186","-76.113","ON","-5.2","1",NA,"9.0","1","-21.5","1","38.6","1",NA,"75.8","1",NA,"0.0","11","","",NA,"696.7","0.0","6100285"
"BROCKVILLE CLIMATE","44.635","-75.748","ON","-4.1","0",NA,"15.8","0","-17.8","0","",,NA,"71.3","0",NA,"2.0","10","",,NA,"684.7","0.0","6100970"
"BROCKVILLE PCC","44.600","-75.667","ON","-2.8","0","-1.8","15.5","0","-17.5","0","40.0","0","130.0","77.8","0","123.0","0.0","11","","",NA,"643.6","0.0","6100971"
"CHALK RIVER AECL","46.050","-77.367","ON","-4.1","8","-1.2","9.0","8","-23.0","8","31.6","8",NA,"41.8","8",NA,"17.0","7","","",NA,"508.5","0.0","6101335"
"CORNWALL","45.016","-74.749","ON","-3.9","0","-2.9","12.0","0","-19.5","0","56.0","0","176.0","85.3","0","139.0","0.0","10","","",NA,"679.6","0.0","6101874"
"DRUMMOND CENTRE","45.032","-76.253","ON","-4.7","0","-2.7","9.0","0","-23.0","0","42.4","0","160.0","74.8","0","136.0","16.0","12","","",NA,"705.2","0.0","6102J13"
